city,year,month,sales,volume,median_price,listings,months_inventory
Beaumont,2014,8,262,41.191,142400,1617,7.8
Beaumont,2014,9,224,35.335,128100,1501,7.2
Beaumont,2014,10,260,40.923,140600,1575,7.4
Beaumont,2014,11,180,24.925,124300,1544,7.2
Beaumont,2014,12,202,31.656,133800,1500,7
Bryan-College Station,2010,1,89,15.151,151900,1298,7.1
Bryan-College Station,2010,2,107,19.686,165300,1439,7.8
Bryan-College Station,2010,3,176,29.117,148300,1577,8.5
Bryan-College Station,2010,4,233,38.691,151000,1984,10.5
Bryan-College Station,2010,5,282,45.53,150200,1613,8.4
Bryan-College Station,2010,6,286,47.453,151700,1588,8.4
Bryan-College Station,2010,7,189,30.773,152200,1646,9.1
Bryan-College Station,2010,8,196,34.057,148500,1599,9.1
Bryan-College Station,2010,9,122,22.983,149300,1549,8.8
Bryan-College Station,2010,10,100,17.568,161400,1530,8.9
Bryan-College Station,2010,11,101,20.301,159300,1510,9
Bryan-College Station,2010,12,130,23.464,153300,1416,8.4
Bryan-College Station,2011,1,94,15.242,147700,1480,8.8
Bryan-College Station,2011,2,101,16.125,148500,1562,9.3
Bryan-College Station,2011,3,162,26.891,152100,1723,10.4
Bryan-College Station,2011,4,186,31.684,151200,1833,11.3
Bryan-College Station,2011,5,238,40.306,148900,1840,11.6
Bryan-College Station,2011,6,284,47.776,149400,1758,11.1
Bryan-College Station,2011,7,244,42.941,148700,1662,10.2
Bryan-College Station,2011,8,196,31.667,146700,1581,9.7
Bryan-College Station,2011,9,131,23.916,156400,1536,9.4
Bryan-College Station,2011,10,114,21.534,157300,1492,9
Bryan-College Station,2011,11,124,24.228,156200,1445,8.7
Bryan-College Station,2011,12,135,24.86,153900,1362,8.1
Bryan-College Station,2012,1,115,20.635,140700,1486,8.8
Bryan-College Station,2012,2,124,19.789,152000,1634,9.6
Bryan-College Station,2012,3,149,26.644,154300,1806,10.6
Bryan-College Station,2012,4,193,35.335,156600,1834,10.8
Bryan-College Station,2012,5,294,51.716,153100,1793,10.2
Bryan-College Station,2012,6,293,50.348,149300,1734,9.9
Bryan-College Station,2012,7,292,52.928,154400,1669,9.3
Bryan-College Station,2012,8,296,55.448,159700,1518,8.1
Bryan-College Station,2012,9,149,28.434,170000,1498,7.9
Bryan-College Station,2012,10,163,31.263,155200,1458,7.5
Bryan-College Station,2012,11,159,28.882,149100,1442,7.3
Bryan-College Station,2012,12,134,22.887,148400,1442,7.3
Bryan-College Station,2013,1,141,26.961,155500,1486,7.5
Bryan-College Station,2013,2,125,18.977,146900,1599,8
Bryan-College Station,2013,3,187,33.859,161000,1750,8.7
Bryan-College Station,2013,4,267,51.056,158200,1680,8.1
Bryan-College Station,2013,5,341,68.161,161200,1581,7.4
Bryan-College Station,2013,6,357,69.643,163700,1462,6.7
Bryan-College Station,2013,7,402,76.116,161000,1385,6.1
Bryan-College Station,2013,8,328,63.759,166100,1385,6
Bryan-College Station,2013,9,186,35.22,156500,1201,5.2
Bryan-College Station,2013,10,164,32.814,167300,1155,5
Bryan-College Station,2013,11,166,29.754,156500,1132,4.9
Bryan-College Station,2013,12,190,35.169,158800,1057,4.4
Bryan-College Station,2014,1,152,29.457,155300,1199,5
Bryan-College Station,2014,2,171,33.326,168500,1218,5
Bryan-College Station,2014,3,275,50.404,155300,1261,5
Bryan-College Station,2014,4,303,60.581,169500,1271,5
Bryan-College Station,2014,5,353,71.456,165200,1212,4.8
Bryan-College Station,2014,6,377,77.983,169600,1152,4.5
Bryan-College Station,2014,7,403,83.547,172600,1041,4.1
Bryan-College Station,2014,8,298,60.639,172200,1016,4
Bryan-College Station,2014,9,204,42.42,180000,1022,4
Bryan-College Station,2014,10,218,46.485,176100,1031,4
Bryan-College Station,2014,11,169,34.903,172800,973,3.8
Bryan-College Station,2014,12,200,42.553,177300,882,3.4
Tyler,2010,1,160,25.487,138900,2727,11.3
Tyler,2010,2,181,30.139,131500,2763,11.5
Tyler,2010,3,250,35.866,130000,2729,11.3
Tyler,2010,4,316,49.914,133200,3014,12
Tyler,2010,5,282,48.445,142000,3175,12.4
Tyler,2010,6,262,44.327,139400,3294,13
Tyler,2010,7,255,40.93,135700,3272,13.3
Tyler,2010,8,238,39.737,143100,3267,13.4
Tyler,2010,9,220,32.135,132900,3296,13.8
Tyler,2010,10,202,32.087,136000,3156,13.5
Tyler,2010,11,155,24.411,130000,3042,13.4
Tyler,2010,12,209,32.681,129400,2878,12.7
Tyler,2011,1,143,21.05,120600,2852,12.6
Tyler,2011,2,181,28.32,128800,2938,13
Tyler,2011,3,241,39.049,134200,3101,13.8
Tyler,2011,4,253,40.493,135100,3196,14.5
Tyler,2011,5,271,46.763,136100,3266,14.9
Tyler,2011,6,313,52.319,145800,3256,14.6
Tyler,2011,7,278,45.84,139200,3263,14.5
Tyler,2011,8,295,49.352,144900,3218,14
Tyler,2011,9,258,40.883,133300,3094,13.3
Tyler,2011,10,227,34.669,133200,3056,13
Tyler,2011,11,208,35.395,152600,2876,12
Tyler,2011,12,198,28.507,130800,2720,11.4
Tyler,2012,1,169,25.386,124200,2811,11.7
Tyler,2012,2,225,34.806,134400,2857,11.7
Tyler,2012,3,271,44.022,135700,2868,11.6
Tyler,2012,4,253,37.961,129200,2940,11.9
Tyler,2012,5,289,53.2,137600,2981,12
Tyler,2012,6,302,55.913,148100,3041,12.3
Tyler,2012,7,322,57.388,152100,3072,12.2
Tyler,2012,8,317,53.674,144600,3042,12
Tyler,2012,9,281,48.481,144000,2953,11.6
Tyler,2012,10,289,46.696,136300,2897,11.1
Tyler,2012,11,210,33.633,144800,2830,10.9
Tyler,2012,12,234,36.965,140000,2633,10
Tyler,2013,1,197,32.083,132400,2658,10
Tyler,2013,2,227,38.707,144100,2666,10
Tyler,2013,3,298,49.377,144800,2788,10.4
Tyler,2013,4,289,51.608,142400,2920,10.8
Tyler,2013,5,326,59.974,147400,2946,10.7
Tyler,2013,6,335,62.85,155600,2986,10.8
Tyler,2013,7,369,63.046,153100,2998,10.7
Tyler,2013,8,357,61.164,147900,2953,10.4
Tyler,2013,9,287,51.099,147600,2917,10.2
Tyler,2013,10,272,51.619,155600,2852,10.1
Tyler,2013,11,253,42.584,139600,2701,9.4
Tyler,2013,12,239,39.788,142700,2500,8.7
Tyler,2014,1,238,36.916,130700,2609,9
Tyler,2014,2,244,42.553,150000,2625,9
Tyler,2014,3,282,48.948,143600,2737,9.4
Tyler,2014,4,323,54.325,145000,2778,9.5
Tyler,2014,5,388,70.289,152300,2744,9.2
Tyler,2014,6,423,80.814,155700,2855,9.3
Tyler,2014,7,371,66.725,151500,2875,9.4
Tyler,2014,8,347,67.244,155200,2791,9.1
Tyler,2014,9,361,68.744,156500,2696,8.6
Tyler,2014,10,369,65.316,144100,2602,8.1
Tyler,2014,11,300,52.314,159400,2460,7.6
Tyler,2014,12,332,61.032,161600,2272,6.9
Wichita Falls,2010,1,89,8.951,87200,908,7.1
Wichita Falls,2010,2,91,9.382,89400,915,7.3
Wichita Falls,2010,3,147,18.192,88600,946,7.5
Wichita Falls,2010,4,167,19.772,105800,904,7
Wichita Falls,2010,5,165,20.881,105200,914,7.1
Wichita Falls,2010,6,129,19.192,119200,972,7.7
Wichita Falls,2010,7,104,12.355,96700,993,8.1
Wichita Falls,2010,8,130,15.325,96000,1022,8.4
Wichita Falls,2010,9,132,16.475,1e+05,1028,8.3
Wichita Falls,2010,10,113,13.605,100700,1005,8.1
Wichita Falls,2010,11,97,10.844,86400,968,8
Wichita Falls,2010,12,117,14.69,112100,938,7.6
Wichita Falls,2011,1,80,8.166,90000,955,7.8
Wichita Falls,2011,2,79,8.747,90800,950,7.8
Wichita Falls,2011,3,119,13.443,100700,968,8.1
Wichita Falls,2011,4,111,14.003,113600,996,8.7
Wichita Falls,2011,5,128,15.283,109400,1052,9.4
Wichita Falls,2011,6,111,13.031,95000,1030,9.4
Wichita Falls,2011,7,127,13.594,102300,1029,9.2
Wichita Falls,2011,8,135,14.876,105200,1004,8.9
Wichita Falls,2011,9,113,13.396,102900,1005,9.1
Wichita Falls,2011,10,98,9.507,73800,963,8.8
Wichita Falls,2011,11,93,11.176,91700,902,8.3
Wichita Falls,2011,12,81,9.4,102300,844,7.9
Wichita Falls,2012,1,105,10.274,82100,859,7.9
Wichita Falls,2012,2,90,10.697,105000,861,7.9
Wichita Falls,2012,3,116,13.104,97500,887,8.1
Wichita Falls,2012,4,125,13.876,93000,907,8.2
Wichita Falls,2012,5,102,12.451,97500,914,8.5
Wichita Falls,2012,6,130,17.793,116500,934,8.5
Wichita Falls,2012,7,132,16.166,116000,941,8.6
Wichita Falls,2012,8,123,14.003,102300,933,8.6
Wichita Falls,2012,9,95,11.792,108300,931,8.7
Wichita Falls,2012,10,97,9.695,87000,907,8.4
Wichita Falls,2012,11,119,17.126,118800,877,8
Wichita Falls,2012,12,115,11.82,87500,801,7.1
Wichita Falls,2013,1,79,9.666,99300,854,7.7
Wichita Falls,2013,2,101,11.92,101400,850,7.6
Wichita Falls,2013,3,159,16.715,85900,868,7.6
Wichita Falls,2013,4,124,13.524,92200,895,7.8
Wichita Falls,2013,5,144,19.059,121300,900,7.6
Wichita Falls,2013,6,121,15.547,104700,923,7.9
Wichita Falls,2013,7,150,18.571,102500,844,7.1
Wichita Falls,2013,8,149,18.686,109100,830,6.9
Wichita Falls,2013,9,128,16.103,114300,812,6.6
Wichita Falls,2013,10,114,14.47,118200,796,6.4
Wichita Falls,2013,11,94,11.486,1e+05,777,6.3
Wichita Falls,2013,12,92,12.47,111100,743,6.1
Wichita Falls,2014,1,89,9.626,91200,746,6.1
Wichita Falls,2014,2,93,11.261,110000,774,6.4
Wichita Falls,2014,3,102,13.925,94000,838,7.2
Wichita Falls,2014,4,143,17.79,104700,852,7.2
Wichita Falls,2014,5,140,17.833,115700,899,7.6
Wichita Falls,2014,6,123,18.25,135300,961,8.1
Wichita Falls,2014,7,150,18.672,102500,941,8
Wichita Falls,2014,8,137,16.129,99600,973,8.3
Wichita Falls,2014,9,110,12.015,90000,940,8.1
Wichita Falls,2014,10,112,13.817,113300,905,7.8
Wichita Falls,2014,11,96,11.308,108000,870,7.5
Wichita Falls,2014,12,109,13.884,103800,821,7
